,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
295,Fluconazole,,,,Kenya,Tablet / Capsule,150mg139
299,Flucytosine,,,,Kenya,Capsule,250mg
301,Griseofulvin,,,,Kenya,Tablet,125mg
303,Itraconazole,,,,Kenya,Capsule,100mg
304,Nystatin,,,,Kenya,Oral liquid (suspension),"100,000 IU/mL [c]"
305,Posaconazole,,,,Kenya,Tablet (Delayed Release),100mg
307,Terbinafine,,,,Kenya,Tablet,125mg
309,Voriconazole,,,,Kenya,Tablet,200mg
311,Acyclovir,,,,Kenya,PFI,250mg vial (as sodium salt)
313,Abacavir (ABC)147,,,,Kenya,Tablet,300mg
315,Lamivudine (3TC),,,,Kenya,Oral liquid,50mg/5mL
316,Tenofovir Alafenamide (TAF),,,,Kenya,Tablet,25mg
317,Tenofovir disoproxil fumarate (TDF)148,,,,Kenya,Tablet,300mg
318,Zidovudine (AZT or ZDV),,,,Kenya,Oral liquid,50mg/5mL
320,Dapivirine,,,,Kenya,Vaginal ring,25mg
321,Etravirine (ETV),,,,Kenya,Tablet,25mg
324,Nevirapine (NVP),,,,Kenya,Oral liquid,10mg/mL
325,Darunavir (DRV)149,,,,Kenya,Tablet,75mg
329,Darunavir + Ritonavir (DRV+r),,,,Kenya,Tablet,600mg + 100mg
331,Lopinavir + ritonavir (LPV+r),,,,Kenya,Tablet (heat-stable),100mg + 25mg
334,Ritonavir (RTV),,,,Kenya,Tablet (heat-stable),100mg
336,Cabotegravir,,,,Kenya,"Injection (Long acting), Single- dose vial",600mg/3mL
337,Dolutegravir (DTG)152,,,,Kenya,Tablet,50mg
340,Abacavir + lamivudine (ABC+3TC),,,,Kenya,"Tablet, (dispersible, scored)",120mg (as sulphate) + 60mg
342,Tenofovir disoproxil fumarate + Emtricitabine (TDF+FTC)153,,,,Kenya,Tablet,300mg + 200mg
343,Tenofovir disoproxil fumarate + Lamivudine (TDF+3TC),,,,Kenya,Tablet,300mg + 300mg
344,Tenofovir Alafenamide + Lamivudine + Dolutegravir (TAF+3TC+DTG),,,,Kenya,Tablet,25mg + 300mg + 50mg
345,Tenofovir disoproxil fumarate + Lamivudine + Dolutegravir (TDF+3TC+DTG)154,,,,Kenya,Tablet,300mg + 300mg + 50mg
346,Tenofovir disoproxil fumarate + Lamivudine + Efavirenz (TDF+3TC+EFV),,,,Kenya,Tablet,300mg + 300mg + 400mg
347,Zidovudine + Lamivudine (AZT+3TC),,,,Kenya,Tablet,300mg + 150mg
348,Co-trimoxazole (Sulfamethoxazole + Trimethoprim)155,,,,Kenya,Oral liquid,240mg/5mL [c]
352,Gancyclovir,,,,Kenya,PFI,500mg vial
353,Ribavirin,,,,Kenya,Injection (IV)158,800mg in 10mL phosphate buffer solution
355,Valgancyclovir,,,,Kenya,Tablet,450mg
357,Entecavir,,,,Kenya,Oral liquid,0.05mg/mL
362,Tenofovir disoproxil fumarate (TDF)162,,,,Kenya,Tablet,300mg
363,Diloxanide,,,,Kenya,Tablet,500mg (as furoate)
364,Diloxanide furoate + Metronidazole,,,,Kenya,Oral liquid,250mg + 200mg
372,Paromomycin,,,,Kenya,Injection solution (IM),375mg/mL (as sulphate) (2mL amp)
373,Sodium stibogluconate,,,,Kenya,Injection,100mg/mL (100mL amp)
374,Artemether,,,,Kenya,"Injection (oily, IM)",80mg/mL in 1mL amp
375,Artemether+ lumefantrine (AL),,,,Kenya,Tablet,20mg + 120mg170
377,Artesunate,,,,Kenya,Injection (IM/IV)172,30mg vial
380,Artesunate + Pyronaridine tetraphosphate,,,,Kenya,Tablet (f/c),60mg + 180mg
382,Dihydroartemisinin + Piperaquine (DHA-PPQ)174,,,,Kenya,Tablet,20mg + 160mg
385,Primaquine,,,,Kenya,Tablet,7.5mg (as diphosphate)
387,Quinine,,,,Kenya,Injection,300mg/mL (as HCl) (2mL amp)
389,Atovaquone + Proguanil,,,,Kenya,Tablet (f/c),62.5mg (as HCl) + 25mg
392,Mefloquine,,,,Kenya,Tablet,250mg (as HCl)
393,Proguanil,,,,Kenya,Tablet,100mg (as HCl)
394,Sulfadoxine + Pyrimethamine,,,,Kenya,Tablet,500mg + 25mg
398,Pyrimethamine,,,,Kenya,Tablet,25mg
399,Sulfadiazine,,,,Kenya,Tablet,500mg
400,Pentamidine isethionate,,,,Kenya,PFI,200mg (as isetionate) vial
401,Suramin sodium,,,,Kenya,PFI,1g vial
402,Eflornithine,,,,Kenya,Injection,200mg (as HCl)/ mL in 100mL bottle
403,Melarsoprol,,,,Kenya,Injection,"3.6% solution (180mg), 5mL amp"
404,Nifurtimox,,,,Kenya,Tablet,120mg
408,Sumatriptan,,,,Kenya,Tablet,25mg
410,Propranolol,,,,Kenya,Tablet,40mg (as HCl)
413,Antithymocyte globulin (ATG) (Equine)195,,,,Kenya,Injection,"50mg/mL, 5mL vial"
414,Azathioprine,,,,Kenya,Tablet (scored),50mg
415,Basiliximab,,,,Kenya,PFI,20mg
416,Cyclosporin,,,,Kenya,Capsule,25mg
419,Cyclophosphamide,,,,Kenya,PFI,500mg vial
421,Everolimus,,,,Kenya,Tablet,500 micrograms (or 0.5mg)
422,Methylprednisolone,,,,Kenya,PFI,125mg (as sodium succinate)
424,Mycophenolic acid,,,,Kenya,Tablet (e/c),180mg (as mycophenolate sodium)
426,Mycophenolate mofetil,,,,Kenya,Tablet,250mg
430,Rituximab,,,,Kenya,Injection (IV),10mg/mL (10mL vial)
432,Tacrolimus,,,,Kenya,Concentrate (for IV infusion),5mg/1mL amp
436,Arsenic trioxide,,,,Kenya,Concentrate solution for Infusion,1mg/mL
437,Bendamustine,,,,Kenya,Injection,100mg vial
438,Bleomycin,,,,Kenya,PFI,15mg vial (as sulphate)
439,Cabazitaxel,,,,Kenya,Injection,60mg
443,Capecitabine,,,,Kenya,Tablet,150mg
445,Carboplatin,,,,Kenya,Injection,10mg/mL (15mL vial)
447,Chlorambucil,,,,Kenya,Tablet,2mg
448,Cisplatin,,,,Kenya,Injection,1mg/mL (50mL vial)
452,Cytarabine,,,,Kenya,PFI,100mg vial
454,Dacarbazine,,,,Kenya,PFI,200mg vial (as citrate)
455,Dactinomycin (Actinomycin D)216,,,,Kenya,PFI,500 micrograms vial
456,Daunorubicin,,,,Kenya,PFI,20mg vial (as HCl)
458,Docetaxel,,,,Kenya,Injection (premixed),120mg vial
460,Doxorubicin,,,,Kenya,PFI or Solution for Injection,50mg vial (as HCl)
461,Etoposide,,,,Kenya,Capsule,50mg
464,Fluorouracil,,,,Kenya,Injection,50mg/mL (5mL vial)
465,Gemcitabine,,,,Kenya,PFI,200mg vial
467,Hydroxycarbamide (Hydroxyurea)223,,,,Kenya,SODF,500mg
468,Ifosfamide + Mesna,,,,Kenya,Injection,1g + 600mg
470,Irinotecan,,,,Kenya,Injection,20mg/mL (2mL vial)
472,L - Asparaginase,,,,Kenya,PFI,"10,000 IU vial"
473,Liposomal Doxorubicin (Pegylated)227,,,,Kenya,Solution for Injection,20mg vial
475,Melphalan,,,,Kenya,Tablet,2mg
477,Mercaptopurine,,,,Kenya,Tablet,50mg
478,Methotrexate,,,,Kenya,PFI (preservative-free),25mg (as sodium salt)/mL (2mL vial)
482,Mitomycin C,,,,Kenya,Injection,10mg
483,Oxaliplatin,,,,Kenya,Solution for Injection,2mg/mL (25mL vial)
485,Paclitaxel,,,,Kenya,Concentrate (for IV infusion),6mg/mL (5mL vial)
488,Pegaspargase,,,,Kenya,Injection,3750 Units/5mL vial
489,Pemetrexed,,,,Kenya,PFI or solution for injection,500mg
490,Procarbazine,,,,Kenya,Capsule,50mg (as HCl)
491,Temozolomide,,,,Kenya,Capsule,100mg
493,Tioguanine,,,,Kenya,SODF,40mg [c]
494,Topotecan,,,,Kenya,Injection,2.5mg
495,Vinblastine,,,,Kenya,Injection,1mg/mL (as sulphate) (10mL vial)
496,Vincristine,,,,Kenya,PFI or solution for injection,1mg/mL (as sulphate) vial
497,Vinorelbine,,,,Kenya,Injection,10mg/mL (1mL vial)
499,All-trans retinoid acid (ATRA)244,,,,Kenya,Capsule,10mg
500,Bevacizumab,,,,Kenya,Injection,100mg
502,Bortezomib,,,,Kenya,PFI,3.5mg vial
503,Gefitinib,,,,Kenya,Tablet,250mg
504,Ibrutinib,,,,Kenya,Capsule,140mg
505,Imatinib,,,,Kenya,Tablet,400mg (as mesylate)
506,Nilotinib,,,,Kenya,Capsule,200mg
507,Osimertinib,,,,Kenya,Tablet,80mg
508,Palbociclib,,,,Kenya,Tablet,125mg
511,Pazopanib,,,,Kenya,Tablet,200mg
515,Sorafenib,,,,Kenya,Capsule,200mg
516,Trastuzumab,,,,Kenya,PFI,150mg vial
519,Filgrastim,,,,Kenya,Injection (prefilled syringe),120 micrograms/0.2mL
521,Lenalidomide,,,,Kenya,Capsule,10mg
523,Peg-Filgrastim,,,,Kenya,Injection (prefilled syringe),6mg/0.6mL
524,Pembrolizumab,,,,Kenya,Injection,100mg/4mL
525,Thalidomide,,,,Kenya,Capsule,100mg
526,Abiraterone,,,,Kenya,Tablet,250mg
527,Anastrozole,,,,Kenya,Tablet,1mg
528,Bicalutamide,,,,Kenya,Tablet,50mg
531,Goserelin,,,,Kenya,Implant (in syringe applicator),3.6mg (as acetate)
534,Letrozole,,,,Kenya,Tablet,2.5mg
536,Octreotide,,,,Kenya,Injection kit,20mg
540,Tamoxifen,,,,Kenya,Tablet,20mg (as citrate)
541,Allopurinol,,,,Kenya,Tablet,100mg
543,Febuxostat,,,,Kenya,Tablet,40mg
544,Magnesium Sulphate,,,,Kenya,Injection,4% (100mL vial)
545,Mannitol,,,,Kenya,Solution for Infusion,"20%, 500mL"
546,Mesna,,,,Kenya,Injection,100mg/mL (2mL amp)
548,Rasburicase,,,,Kenya,Injection,7.5mg/vial
549,Sodium hydrogen carbonate (Sodium bicarbonate)280,,,,Kenya,Injectable solution,8.4% (10mL amp)
550,Zoledronic acid,,,,Kenya,Concentrate solution for Infusion,800 micrograms/mL (in 5mL vial)
551,Benzhexol,,,,Kenya,Tablet,5mg (as HCl)
552,Biperiden,,,,Kenya,Injection,5mg (lactate) in 1mL amp
554,Levodopa + Carbidopa,,,,Kenya,Tablet,100mg + 10mg
556,Pramipexole,,,,Kenya,Tablet (scored),180 micrograms base
558,Donepezil,,,,Kenya,Tablet,5mg
560,Memantine,,,,Kenya,Tablet,5mg
561,Rivastigmine,,,,Kenya,Capsule,1.5mg
562,Darbepoetin alfa,,,,Kenya,Injection,25 micrograms for subcutaneous injection
564,Erythropoetin (alfa or beta) stimulating agents,,,,Kenya,Injection (prefilled syringe),"2,000 IU"
565,Ferrous salt,,,,Kenya,Oral liquid (drops),25mg (iron as sulphate)/ mL
567,Ferrous salt + Folic acid,,,,Kenya,Tablet,60-65mg elemental iron + 400mcg
568,Folic acid,,,,Kenya,Tablet,400 micrograms288
570,Hydroxocobalamin (Vit B12),,,,Kenya,Injection,"1mg/1mL amp (as HCl, acetate or sulphate)"
571,Iron sucrose,,,,Kenya,Injection,100mg
572,Phytomenadione (Vit K1),,,,Kenya,Injection,10mg/mL (0.2mL) amp [c]291
574,Tranexamic acid,,,,Kenya,Injection,100mg/mL (5mL amp)
576,Enoxaparin,,,,Kenya,Injection (prefilled and calibrated syringe),40mg/0.4mL
578,Heparin sodium,,,,Kenya,Injection,"5,000 IU/mL (5mL vial)"
579,Rivaroxaban,,,,Kenya,Tablet,10mg
582,Warfarin,,,,Kenya,Tablet (scored),1mg (as sodium salt)
587,Deferoxamine mesilate,,,,Kenya,PFI,500mg vial
588,Hydroxycarbamide (Hydroxyurea),,,,Kenya,Capsule,250mg
591,Cryoprecipitate,,,,Kenya,,
592,"Plasma, fresh-frozen",,,,Kenya,,
593,Platelets,,,,Kenya,,
594,Red blood cells,,,,Kenya,,
595,Whole blood,,,,Kenya,,
596,Anti-D immunoglobulin,,,,Kenya,PFI + diluent,750 IU/mL (2mL vial)
597,Anti-Hepatitis B immunoglobulin (HBIG)299,,,,Kenya,Injection,100 IU/mL
598,Anti-Rabies immunoglobulin,,,,Kenya,Injection,200 IU/mL (5mL vial)
599,Ant-Tetanus immunoglobulin,,,,Kenya,Injection,1500 IU vial
600,Normal immunoglobulin,,,,Kenya,Injection (IV),5% protein solution (100mL vial)
602,Coagulation factor VIII,,,,Kenya,PFI (Extended half-life),250 IU vial
606,Coagulation factor IX,,,,Kenya,PFI (Extended half-life),250 IU/vial
609,Dextran- 70303,,,,Kenya,Solution,6%
610,Gelatin-based colloid,,,,Kenya,Solution for Infusion,4%
611,Hydroxyethyl starch,,,,Kenya,Solution for Infusion,6%
612,Human albumin infusion,,,,Kenya,Solution,5%
614,Polygeline,,,,Kenya,Infusion (IV),3.5% (500mL pack)
615,Bisoprolol,,,,Kenya,Tablet,2.5mg
617,Carvedilol,,,,Kenya,Tablet,3.125mg
621,Glyceryl trinitrate,,,,Kenya,Tablet (sublingual),500 micrograms
623,Isosorbide dinitrate,,,,Kenya,Tablet,20mg
625,Trimetazidine,,,,Kenya,Tablet (m/r),35mg
626,Adenosine,,,,Kenya,Injection,6mg/2mL
627,Amiodarone,,,,Kenya,Injection,50mg (as HCl)/mL in 3mL amp
637,Digoxin,,,,Kenya,Oral liquid,50 micrograms/mL
640,Epinephrine (adrenaline)312,,,,Kenya,Injection,1mg/1mL amp
641,Lignocaine (Preservative free)313,,,,Kenya,Injection,200mg/10mL
642,Verapamil,,,,Kenya,Tablet (Immediate release),40mg (as HCl)
644,Enalapril,,,,Kenya,Tablet (scored),5mg (as hydrogen maleate)
647,Losartan,,,,Kenya,Tablet (f/c),50mg
648,Telmisartan,,,,Kenya,Tablet,40mg
652,Labetalol,,,,Kenya,Injection,5mg/mL (20mL amp)
655,Metoprolol,,,,Kenya,Tablet(e/r),25mg
657,Nebivolol,,,,Kenya,Tablet,2.5mg
659,Amlodipine,,,,Kenya,Tablet,5mg
661,Nifedipine,,,,Kenya,Tablet (s/r),20mg
662,Chlorthalidone,,,,Kenya,Tablet,12.5mg
663,Hydrochlorothiazide (HCTZ),,,,Kenya,Tablet (scored),25mg
664,Indapamide,,,,Kenya,Tablet,1.5mg
665,Methyldopa,,,,Kenya,Tablet,250mg
667,Hydralazine,,,,Kenya,Injection,20mg (as HCl)
670,Doxazosin,,,,Kenya,Tablet,2mg
671,Prazosin,,,,Kenya,Capsule,500 micrograms
674,Bosentan,,,,Kenya,Tablet,62.5mg
675,Sildenafil,,,,Kenya,Tablet,25mg
676,Tadalafil,,,,Kenya,Tablet,20mg
677,Amlodipine + Hydrochlorothiazide (HCTZ),,,,Kenya,Tablet,5mg + 12.5mg
678,Amlodipine + Indapamide,,,,Kenya,Tablet,5mg + 1.25mg
679,Lisinopril + Hydrochlorothiazide (HCTZ),,,,Kenya,Tablet,20mg + 12.5mg
680,Losartan + Hydrochlorothiazide (HCTZ),,,,Kenya,Tablet,50mg + 12.5mg
681,Perindopril + Amlodipine,,,,Kenya,Tablet,5mg + 5mg
683,Perindopril + Amlodipine + Indapamide,,,,Kenya,Tablet (Film-coated),5mg + 5mg + 1.25mg
685,Telmisartan + Amlodipine,,,,Kenya,Tablet,40mg + 5mg
686,Telmisartan+ Amlodipine+ Hydrochlorothiazide (HCTZ),,,,Kenya,Tablet,40mg + 5mg + 12.5mg
687,Telmisartan + Hydrochlorothiazide (HCTZ),,,,Kenya,Tablet,40mg + 12.5mg
697,Dobutamine,,,,Kenya,Injection (solution),12.5mg/mL (20mL)
698,Dopamine,,,,Kenya,Injection,40mg/mL (as HCl) (5mL vial)
699,Empagliflozin,,,,Kenya,Tablet,10mg
701,Eplerenone,,,,Kenya,Tablet,25mg
702,Furosemide,,,,Kenya,Injection,10mg/mL (2mL amp)
707,Ivabradine,,,,Kenya,Tablet (f/c),5mg
710,Metolazone,,,,Kenya,Tablet,5mg
711,Milrinone,,,,Kenya,Injection (solution),1mg/mL (10mL)
712,Nitroglycerin (NTG),,,,Kenya,Injection,2.5mg/mL (10mL) amp
713,Norepinephrine (Noradrenaline)331,,,,Kenya,Injection,1mg/mL
714,Sacubitril + Valsartan,,,,Kenya,Tablet (f/c),24mg + 26mg
716,Spironolactone,,,,Kenya,Tablet (scored),25mg
717,Torsemide,,,,Kenya,Tablet (scored),20mg
720,Clopidogrel,,,,Kenya,Tablet,75mg
721,Acetylsalicylic acid (Aspirin) + Clopidogrel,,,,Kenya,Tablet,75mg + 75mg
722,Alteplase,,,,Kenya,PFI,50mg
724,Reteplase,,,,Kenya,PFI,10 Units
725,Tenecteplase,,,,Kenya,PFI with prefilled syringe with 10mL water for injection,50mg (10000IU)
726,Atorvastatin,,,,Kenya,Tablet,20mg
730,Miconazole,,,,Kenya,Cream,2% (as nitrate)
732,Fusidic acid,,,,Kenya,Ointment,2% (15g)
733,Mupirocin,,,,Kenya,Ointment,2% (15g)
734,Silver sulphadiazine,,,,Kenya,Cream,1% (50g)
736,Betamethasone,,,,Kenya,Cream,0.1% (as valerate)
738,Calamine,,,,Kenya,Lotion,15%
739,Clobetasone propionate,,,,Kenya,Ointment,0.05%
740,Crotamiton,,,,Kenya,Cream,10% (30g)
743,Mometasone,,,,Kenya,Ointment,0.1% (as furoate) (30g)
746,Benzoyl peroxide,,,,Kenya,Gel,5% (30g)
747,Dithranol,,,,Kenya,Paste,2%
748,Podophyllin resin,,,,Kenya,Solution,15% (in benzoin tincture) (15mL)
749,Salicylic acid,,,,Kenya,Ointment,3%
750,Tretinoin,,,,Kenya,Cream,0.05%
751,Benzyl Benzoate,,,,Kenya,Lotion,25% (50mL)
755,White soft paraffin (Petroleum jelly)354,,,,Kenya,Topical application,100g
756,Fluorescein,,,,Kenya,Test strip,0.6mg
757,Tropicamide + Phenylephrine,,,,Kenya,Eye drops,0.8% + 5% w/v
758,Amidotrizoate,,,,Kenya,Solution (oral and rectal use),370-420mg iodine/mL (as sodium or meglumine salt) (100mL)
759,Barium sulphate,,,,Kenya,Suspension (aq),95% w/w concentration (1 litre)
761,Iso-osmolar contrast media,,,,Kenya,Solution for IV injection/ infusion,320mg iodine/mL (100mL)
762,Non-ionic low osmolar water- soluble iodinated contrast media,,,,Kenya,Injection,300mg iodine/mL (50mL) [c]361
770,Gadobutrol,,,,Kenya,Injection (solution) (IV),1mmol/mL (7.5mL)369
772,Gadodiamide,,,,Kenya,Injection (solution) (IV),0.5 mmol/mL (20mL)370
773,Gadopentate dimeglumine,,,,Kenya,Injection (solution) (IV),0.5 mmol/mL (10mL)371
775,Chlorhexidine,,,,Kenya,Solution for dilution,5% (as gluconate/ digluconate)
777,Povidone iodine,,,,Kenya,Solution,10% (equiv. to Iodine 1%)
778,Alcohol-based hand rub,,,,Kenya,Solution,Isopropyl alcohol 75% (500mL dispenser)
779,Glutaral,,,,Kenya,Solution,2%
780,Sodium hypochlorite,,,,Kenya,Solution,4-6% chlorine373
781,Amiloride,,,,Kenya,Tablet,5mg (as HCl)
792,Lansoprazole,,,,Kenya,Tablet (dispersible),15mg [c]377
793,Omeprazole,,,,Kenya,PFI,40mg (as sodium salt) vial
795,Pantoprazole,,,,Kenya,Tablet (dispersible),20mg
802,Domperidone,,,,Kenya,Oral liquid,5mg/5mL
804,Fosaprepitant,,,,Kenya,Injection,150mg
807,Olanzapine,,,,Kenya,Tablet,5mg
811,Palonosetron,,,,Kenya,Injection,"0.05mg/mL, 5mL vial"
812,Mesalazine,,,,Kenya,Tablet (e/c),400mg
819,Oral rehydration salts + Zinc sulphate,,,,Kenya,Co-pack (4 sachets + 10 Tablet (dispersible)),PFOL in sachet to make 500mL + 20mg Tablet [c]
820,Oral rehydration salts (ORS),,,,Kenya,PFOL (to make 500mL),Sachet (WHO low- osmolarity formula)
821,Rehydration solution for malnutrition (ReSoMal)387,,,,Kenya,PFOL (to make 1L),Sachet (42g) (WHO formula)
826,Fludrocortisone,,,,Kenya,Tablet,100 micrograms (as acetate)
830,Testosterone,,,,Kenya,Gel,1%
832,Conjugated Oestrogens,,,,Kenya,Tablet,300 micrograms
834,Estradiol,,,,Kenya,Transdermal patch,0.1mg/day
835,"Insulin, intermediate-acting (NPH)",,,,Kenya,Injection,100 IU/mL (10mL vial)
836,"Insulin, long-acting, Detemir",,,,Kenya,Injection,100U/mL (10mL vial)
838,"Insulin, Long-acting (basal), Glargine",,,,Kenya,Injection,100 IU/mL (10mL vial)
840,"Insulin, Premixed (Short acting + Intermediate acting) (Human)397",,,,Kenya,Injection,100 IU/mL (10mL vial)
842,"Insulin, Premixed (Ultra short acting + Intermediate acting)398",,,,Kenya,Injection,100 IU/mL (10mL vial)
844,"Insulin, Short acting (Soluble / regular)",,,,Kenya,Injection,100 IU/mL (10mL vial)
846,"Insulin, Ultra short-acting (Rapid) (Insulin Lispro and Aspart)",,,,Kenya,Injection,100 IU/mL (10mL vial)
848,Gliclazide,,,,Kenya,Tablet (m/r),30mg
852,Metformin,,,,Kenya,Tablet,500mg (as HCl)
855,Pioglitazone,,,,Kenya,Tablet,15mg
857,Linagliptin,,,,Kenya,Tablet (f/c),5mg
858,Sitagliptin,,,,Kenya,Tablet,50mg
862,Empagliflozin + Metformin,,,,Kenya,Tablet (i/r),12.5mg + 500mg
866,Pioglitazone + Metformin,,,,Kenya,Tablet,15mg + 500mg
868,Sitagliptin + Metformin,,,,Kenya,Tablet,50mg + 500mg
871,Diazoxide,,,,Kenya,Suspension,50mg/mL
872,Glucagon,,,,Kenya,injection,1mg/mL
873,Carbimazole,,,,Kenya,Tablet,5mg
875,Levothyroxine,,,,Kenya,Tablet,25 micrograms [c] (as sodium salt)
878,Lugol’s Iodine solution,,,,Kenya,Solution,~130mg total iodine/mL
880,Propylthiouracil,,,,Kenya,Tablet,50mg
881,Calcitriol (Vit D3)409,,,,Kenya,Capsule,250 micrograms
883,Desmopressin,,,,Kenya,Injection,4mcg/mL
885,Somatropin (recombinant human growth hormone)413,,,,Kenya,Prefilled pen,12mg
886,BCG vaccine (live attenuated),,,,Kenya,PFI + diluent,1mL vial (multi doses)
887,DPT + HiB + Hep B vaccine (pentavalent)416,,,,Kenya,Injection (suspension),5mL vial (10 doses)
888,Hepatitis B vaccine,,,,Kenya,Injection (suspension),Single dose vial
890,HPV vaccine (quadrivalent)417,,,,Kenya,Injection,Single or multi dose vial
891,Measles + Rubella vaccine (MR)418,,,,Kenya,PFI + diluent,5mL vial (10 doses)
892,Pneumococcal vaccine (10-valent ads. conjugate),,,,Kenya,Injection (suspension),2mL vial (4 doses)
893,Pneumococcal vaccine (13 valent or higher adsorbed conjugate)419,,,,Kenya,Injection (syringe),Single or multi dose vial
894,Polio vaccine (IPV),,,,Kenya,Injection,Multi dose vial
895,"Polio vaccine, oral (OPV) (live attenuated)",,,,Kenya,Oral drops,10mL vial (20 doses)
896,Rotavirus vaccine,,,,Kenya,Oral suspension,5 dose vial
897,Tetanus + Diphtheria (Td) vaccine,,,,Kenya,Injection,10mL vial (20 doses)
898,Tetanus + Diphtheria + Pertussis (Tdap) vaccine,,,,Kenya,Injection,0.5mL (single dose)
899,Cholera vaccine,,,,Kenya,Oral suspension,1.5mL vial (single dose) - single dose vial
900,Hepatitis A vaccine,,,,Kenya,Injection,80 units (Paed)
902,Malaria vaccine,,,,Kenya,Injection,1mL vial (2 doses)
903,Meningococcal meningitis vaccine,,,,Kenya,Injection,Single or multi dose
904,Rabies vaccine (cell culture),,,,Kenya,Injection,Single dose (Purified Verocell / Human diploid)
905,Typhoid vaccine,,,,Kenya,Injection (solution),Single or multi dose
907,Dexamethasone + Polymixin B sulphate + Neomycin sulphate,,,,Kenya,Ointment,"1mg dexamethasone, 6000 IU polymixin B sulphate, 3500 IU neomycin sulphate"
910,Gentamicin + Dexamethasone,,,,Kenya,Eye drops,0.3% + 0.1%
911,Moxifloxacin,,,,Kenya,Eye drops,0.5% (as HCL)
912,Natamycin,,,,Kenya,Eye drops,5%
913,Ofloxacin,,,,Kenya,Eye drops,0.3% (as sulphate)
914,Ofloxacin + Dexamethasone,,,,Kenya,Solution (eye-drops),0.3 + 0.1%
915,Tetracycline,,,,Kenya,Eye ointment,1% (as HCl)
916,Tobramycin,,,,Kenya,Solution (eye-drops),0.3% (as sulphate)
917,Tobramycin + Dexamethasone,,,,Kenya,Solution (eye-drops),0.3 + 0.1%
920,Fluorometholone,,,,Kenya,Solution (eye-drops),0.1%
921,Ketorolac trometamol,,,,Kenya,Solution (eye-drops),0.5%
924,Triamcinolone,,,,Kenya,Injection suspension,40mg/1mL amp (as acetonide or hexacetonide)
927,Proparacaine,,,,Kenya,Solution (eye-drops),0.5% (as HCl)
928,Tetracaine,,,,Kenya,Solution (eye-drops),0.5% (as HCl)
930,Bimatoprost,,,,Kenya,Solution (eye-drops),0.01%
932,Bimatoprost + Timolol,,,,Kenya,Solution (eye-drops),Bimatoprost 0.03% +Timolol 0.5%
933,Brimonidine + Timolol,,,,Kenya,Solution (eye-drops),Brimonidine 0.2% +Timolol 0.5%
934,Dorzolamide,,,,Kenya,Solution (eye-drops),2% (as HCl)
935,Latanoprost,,,,Kenya,Solution (eye-drops),0.005%
936,Pilocarpine,,,,Kenya,Solution (eye-drops)441,4% (as HCl or nitrate)
940,Timolol,,,,Kenya,Solution (eye-drops),0.5% (as hyd. maleate)
943,Cyclopentolate,,,,Kenya,Solution (eye-drops),1%
944,Tropicamide + phenylephrine,,,,Kenya,Solution (eye-drops),0.8% + 5% w/v
945,Aflibercept,,,,Kenya,Injection,0.05mL (2mg vial)
947,Ranibizumab,,,,Kenya,Injection,6mg/mL (0.3mg vial)
949,Azelastine,,,,Kenya,Solution (eye-drops),0.05%
950,Olopatadine,,,,Kenya,Solution (eye-drops),0.1% (HCl)
952,Sodium cromoglicate,,,,Kenya,Solution (eye-drops),2%
953,Hypertonic saline,,,,Kenya,Solution (eye-drops),3%
954,Methyl cellulose,,,,Kenya,Solution (eye-drops),0.3 - 1%
955,Polyacrylic acid,,,,Kenya,Eye Gel,0.2%
956,Riboflavin,,,,Kenya,Solution (eye-drops),0.1% with Dextran
958,Sodium Hyaluronate,,,,Kenya,Solution (eye-drops),1% (preseverative free)
959,Trypan blue,,,,Kenya,Intracameral Solution,0.06%
960,Ethinylestradiol + Levonorgestrel,,,,Kenya,Tablet,30 micrograms + 150 micrograms
961,Ethinylestradiol + Norethisterone,,,,Kenya,Tablet,35 micrograms + 1mg
962,Levonorgestrel,,,,Kenya,Tablet,30 micrograms
963,Medroxyprogesterone acetate (DMPA),,,,Kenya,Depot Injection (IM)459,150mg/1mL (prefilled syringe)
965,Etonorgestrel-releasing implant,,,,Kenya,Implant,68mg (1 rod)
966,Levonorgestrel-releasing implant,,,,Kenya,Implant,150mg (2 x 75mg rods)
967,Clomifene,,,,Kenya,Tablet,50mg (as citrate)
968,Human chorionic gonadotropin (HCG),,,,Kenya,Injection,"5,000 IU/vial"
969,Human menopausal gonadotropin (HMG)464,,,,Kenya,Injection,75 IU
971,Danazol,,,,Kenya,Capsule,50mg
972,Dienogest,,,,Kenya,Tablet,2mg
974,Levonorgestrel (LNG),,,,Kenya,LNG-releasing Intrauterine system (LNG-IUS),Reservoir with 52mg
